5. January 2010 | 04:05:18 | - MaxSpeed = 220
5. January 2010 | 04:05:18 | - AdminImmunity = 1
5. January 2010 | 04:05:18 | - Advertisement = 0
5. January 2010 | 04:05:18 | - FreezeUpdate = 0
5. January 2010 | 04:05:18 | - SpawnTime = 10
5. January 2010 | 04:05:18 | 1 IP-bans have been loaded.
5. January 2010 | 04:05:18 | 1 temporary bans have been loaded.
5. January 2010 | 04:05:18 | 2 whitelist entries have been loaded.
5. January 2010 | 04:05:18 | 4 blacklist entries have been loaded.
5. January 2010 | 04:05:18 | 41 bad words have been loaded.
5. January 2010 | 04:05:18 | 4 forbidden weapons have been loaded.
5. January 2010 | 04:05:18 | JunkBuster has been configurated.
5. January 2010 | 04:05:18 | JunkBuster has successfully been loaded.
5. January 2010 | 08:38:24 | Current JunkBuster configuration:
5. January 2010 | 08:38:24 | - WeaponHack = 1
5. January 2010 | 08:38:24 | - MoneyHack = 1
5. January 2010 | 08:38:24 | - Jetpack = 1
5. January 2010 | 08:38:24 | - HealthHack = 1
5. January 2010 | 08:38:24 | - ArmourHack = 1
5. January 2010 | 08:38:24 | - DriveBy = 1
5. January 2010 | 08:38:24 | - Spam = 1
5. January 2010 | 08:38:24 | - CommandSpam = 1
5. January 2010 | 08:38:24 | - BadWords = 0
5. January 2010 | 08:38:24 | - CarJackHack = 1
5. January 2010 | 08:38:24 | - TeleportHack = 1
5. January 2010 | 08:38:24 | - MaxPing = 450
5. January 2010 | 08:38:24 | - SpectateHack = 1
5. January 2010 | 08:38:24 | - Blacklist = 1
5. January 2010 | 08:38:24 | - IpBans = 1
5. January 2010 | 08:38:24 | - TempBans = 1
5. January 2010 | 08:38:24 | - SpawnKill = 0
5. January 2010 | 08:38:24 | - CapsLock = 1
5. January 2010 | 08:38:24 | - 3DSpeed = 0
5. January 2010 | 08:38:24 | - MaxSpeed = 220
5. January 2010 | 08:38:24 | - AdminImmunity = 1
5. January 2010 | 08:38:24 | - Advertisement = 0
5. January 2010 | 08:38:24 | - FreezeUpdate = 0
5. January 2010 | 08:38:24 | - SpawnTime = 10
5. January 2010 | 08:38:24 | 1 IP-bans have been loaded.
5. January 2010 | 08:38:24 | 1 temporary bans have been loaded.
5. January 2010 | 08:38:24 | 2 whitelist entries have been loaded.
5. January 2010 | 08:38:24 | 4 blacklist entries have been loaded.
5. January 2010 | 08:38:24 | 41 bad words have been loaded.
5. January 2010 | 08:38:24 | 4 forbidden weapons have been loaded.
5. January 2010 | 08:38:24 | JunkBuster has been configurated.
5. January 2010 | 08:38:24 | JunkBuster has successfully been loaded.
5. January 2010 | 09:41:21 | IP 82.3.198.176 has logged in as RCON-admin
5. January 2010 | 10:39:56 | Current JunkBuster configuration:
5. January 2010 | 10:39:56 | - WeaponHack = 1
5. January 2010 | 10:39:56 | - MoneyHack = 1
5. January 2010 | 10:39:56 | - Jetpack = 1
5. January 2010 | 10:39:56 | - HealthHack = 1
5. January 2010 | 10:39:56 | - ArmourHack = 1
5. January 2010 | 10:39:56 | - DriveBy = 1
5. January 2010 | 10:39:56 | - Spam = 1
5. January 2010 | 10:39:56 | - CommandSpam = 1
5. January 2010 | 10:39:56 | - BadWords = 0
5. January 2010 | 10:39:56 | - CarJackHack = 1
5. January 2010 | 10:39:56 | - TeleportHack = 1
5. January 2010 | 10:39:56 | - MaxPing = 450
5. January 2010 | 10:39:56 | - SpectateHack = 1
5. January 2010 | 10:39:56 | - Blacklist = 1
5. January 2010 | 10:39:56 | - IpBans = 1
5. January 2010 | 10:39:56 | - TempBans = 1
5. January 2010 | 10:39:56 | - SpawnKill = 0
5. January 2010 | 10:39:56 | - CapsLock = 1
5. January 2010 | 10:39:56 | - 3DSpeed = 0
5. January 2010 | 10:39:56 | - MaxSpeed = 220
5. January 2010 | 10:39:56 | - AdminImmunity = 1
5. January 2010 | 10:39:56 | - Advertisement = 0
5. January 2010 | 10:39:56 | - FreezeUpdate = 0
5. January 2010 | 10:39:56 | - SpawnTime = 10
5. January 2010 | 10:39:56 | 1 IP-bans have been loaded.
5. January 2010 | 10:39:56 | 1 temporary bans have been loaded.
5. January 2010 | 10:39:56 | 2 whitelist entries have been loaded.
5. January 2010 | 10:39:56 | 4 blacklist entries have been loaded.
5. January 2010 | 10:39:56 | 41 bad words have been loaded.
5. January 2010 | 10:39:56 | 4 forbidden weapons have been loaded.
5. January 2010 | 10:39:56 | JunkBuster has been configurated.
5. January 2010 | 10:39:56 | JunkBuster has successfully been loaded.
5. January 2010 | 10:48:47 | Current JunkBuster configuration:
5. January 2010 | 10:48:47 | - WeaponHack = 1
5. January 2010 | 10:48:47 | - MoneyHack = 1
5. January 2010 | 10:48:47 | - Jetpack = 1
5. January 2010 | 10:48:47 | - HealthHack = 1
5. January 2010 | 10:48:47 | - ArmourHack = 1
5. January 2010 | 10:48:47 | - DriveBy = 1
5. January 2010 | 10:48:47 | - Spam = 1
5. January 2010 | 10:48:47 | - CommandSpam = 1
5. January 2010 | 10:48:47 | - BadWords = 0
5. January 2010 | 10:48:47 | - CarJackHack = 1
5. January 2010 | 10:48:47 | - TeleportHack = 1
5. January 2010 | 10:48:47 | - MaxPing = 450
5. January 2010 | 10:48:47 | - SpectateHack = 1
5. January 2010 | 10:48:47 | - Blacklist = 1
5. January 2010 | 10:48:47 | - IpBans = 1
5. January 2010 | 10:48:47 | - TempBans = 1
5. January 2010 | 10:48:47 | - SpawnKill = 0
5. January 2010 | 10:48:47 | - CapsLock = 1
5. January 2010 | 10:48:47 | - 3DSpeed = 0
5. January 2010 | 10:48:47 | - MaxSpeed = 220
5. January 2010 | 10:48:47 | - AdminImmunity = 1
5. January 2010 | 10:48:47 | - Advertisement = 0
5. January 2010 | 10:48:47 | - FreezeUpdate = 0
5. January 2010 | 10:48:47 | - SpawnTime = 10
5. January 2010 | 10:48:47 | 1 IP-bans have been loaded.
5. January 2010 | 10:48:47 | 1 temporary bans have been loaded.
5. January 2010 | 10:48:47 | 2 whitelist entries have been loaded.
5. January 2010 | 10:48:47 | 4 blacklist entries have been loaded.
5. January 2010 | 10:48:47 | 41 bad words have been loaded.
5. January 2010 | 10:48:47 | 4 forbidden weapons have been loaded.
5. January 2010 | 10:48:47 | JunkBuster has been configurated.
5. January 2010 | 10:48:47 | JunkBuster has successfully been loaded.
5. January 2010 | 10:55:14 | Current JunkBuster configuration:
5. January 2010 | 10:55:14 | - WeaponHack = 1
5. January 2010 | 10:55:14 | - MoneyHack = 1
5. January 2010 | 10:55:14 | - Jetpack = 1
5. January 2010 | 10:55:14 | - HealthHack = 1
5. January 2010 | 10:55:14 | - ArmourHack = 1
5. January 2010 | 10:55:14 | - DriveBy = 1
5. January 2010 | 10:55:14 | - Spam = 1
5. January 2010 | 10:55:14 | - CommandSpam = 1
5. January 2010 | 10:55:14 | - BadWords = 0
5. January 2010 | 10:55:14 | - CarJackHack = 1
5. January 2010 | 10:55:14 | - TeleportHack = 1
5. January 2010 | 10:55:14 | - MaxPing = 450
5. January 2010 | 10:55:14 | - SpectateHack = 1
5. January 2010 | 10:55:14 | - Blacklist = 1
5. January 2010 | 10:55:14 | - IpBans = 1
5. January 2010 | 10:55:14 | - TempBans = 1
5. January 2010 | 10:55:14 | - SpawnKill = 0
5. January 2010 | 10:55:14 | - CapsLock = 1
5. January 2010 | 10:55:14 | - 3DSpeed = 0
5. January 2010 | 10:55:14 | - MaxSpeed = 220
5. January 2010 | 10:55:14 | - AdminImmunity = 1
5. January 2010 | 10:55:14 | - Advertisement = 0
5. January 2010 | 10:55:14 | - FreezeUpdate = 0
5. January 2010 | 10:55:14 | - SpawnTime = 10
5. January 2010 | 10:55:14 | 1 IP-bans have been loaded.
5. January 2010 | 10:55:14 | 1 temporary bans have been loaded.
5. January 2010 | 10:55:14 | 2 whitelist entries have been loaded.
5. January 2010 | 10:55:14 | 4 blacklist entries have been loaded.
5. January 2010 | 10:55:14 | 41 bad words have been loaded.
5. January 2010 | 10:55:14 | 4 forbidden weapons have been loaded.
5. January 2010 | 10:55:14 | JunkBuster has been configurated.
5. January 2010 | 10:55:14 | JunkBuster has successfully been loaded.
5. January 2010 | 11:02:29 | Current JunkBuster configuration:
5. January 2010 | 11:02:29 | - WeaponHack = 1
5. January 2010 | 11:02:29 | - MoneyHack = 1
5. January 2010 | 11:02:29 | - Jetpack = 1
5. January 2010 | 11:02:29 | - HealthHack = 1
5. January 2010 | 11:02:29 | - ArmourHack = 1
5. January 2010 | 11:02:29 | - DriveBy = 1
5. January 2010 | 11:02:29 | - Spam = 1
5. January 2010 | 11:02:29 | - CommandSpam = 1
5. January 2010 | 11:02:29 | - BadWords = 0
5. January 2010 | 11:02:29 | - CarJackHack = 1
5. January 2010 | 11:02:29 | - TeleportHack = 1
5. January 2010 | 11:02:29 | - MaxPing = 450
5. January 2010 | 11:02:29 | - SpectateHack = 1
5. January 2010 | 11:02:29 | - Blacklist = 1
5. January 2010 | 11:02:29 | - IpBans = 1
5. January 2010 | 11:02:29 | - TempBans = 1
5. January 2010 | 11:02:29 | - SpawnKill = 0
5. January 2010 | 11:02:29 | - CapsLock = 1
5. January 2010 | 11:02:29 | - 3DSpeed = 0
5. January 2010 | 11:02:29 | - MaxSpeed = 220
5. January 2010 | 11:02:29 | - AdminImmunity = 1
5. January 2010 | 11:02:29 | - Advertisement = 0
5. January 2010 | 11:02:29 | - FreezeUpdate = 0
5. January 2010 | 11:02:29 | - SpawnTime = 10
5. January 2010 | 11:02:29 | 1 IP-bans have been loaded.
5. January 2010 | 11:02:29 | 1 temporary bans have been loaded.
5. January 2010 | 11:02:29 | 2 whitelist entries have been loaded.
5. January 2010 | 11:02:29 | 4 blacklist entries have been loaded.
5. January 2010 | 11:02:29 | 41 bad words have been loaded.
5. January 2010 | 11:02:29 | 4 forbidden weapons have been loaded.
5. January 2010 | 11:02:29 | JunkBuster has been configurated.
5. January 2010 | 11:02:29 | JunkBuster has successfully been loaded.
5. January 2010 | 11:45:06 | Current JunkBuster configuration:
5. January 2010 | 11:45:06 | - WeaponHack = 1
5. January 2010 | 11:45:06 | - MoneyHack = 1
5. January 2010 | 11:45:06 | - Jetpack = 1
